DATE,QCAR628BIS
1970-01-01,36.9844
1970-04-01,36.8022
1970-07-01,36.8036
1970-10-01,38.0431
1971-01-01,38.1583
1971-04-01,38.1133
1971-07-01,37.305
1971-10-01,38.9569
1972-01-01,39.3096
1972-04-01,38.9473
1972-07-01,38.6832
1972-10-01,40.1878
1973-01-01,41.5135
1973-04-01,42.7417
1973-07-01,44.5809
1973-10-01,47.9393
1974-01-01,51.7922
1974-04-01,52.3013
1974-07-01,50.3281
1974-10-01,49.0292
1975-01-01,50.6942
1975-04-01,51.1298
1975-07-01,51.0785
1975-10-01,52.1097
1976-01-01,53.5763
1976-04-01,53.4231
1976-07-01,52.7265
1976-10-01,53.9456
1977-01-01,53.3124
1977-04-01,52.1632
1977-07-01,50.9081
1977-10-01,51.3016
1978-01-01,50.1131
1978-04-01,50.3919
1978-07-01,49.0875
1978-10-01,50.5484
1979-01-01,51.1774
1979-04-01,50.8883
1979-07-01,49.6938
1979-10-01,50.7208
1980-01-01,50.3694
1980-04-01,51.0029
1980-07-01,51.6298
1980-10-01,53.4208
1981-01-01,53.6265
1981-04-01,52.4886
1981-07-01,52.2545
1981-10-01,51.7313
1982-01-01,48.4078
1982-04-01,44.9859
1982-07-01,43.2119
1982-10-01,43.4669
1983-01-01,46.1122
1983-04-01,45.4724
1983-07-01,44.1786
1983-10-01,43.9365
1984-01-01,43.3795
1984-04-01,43.2668
1984-07-01,42.1178
1984-10-01,42.3165
1985-01-01,42.7166
1985-04-01,43.1994
1985-07-01,43.0009
1985-10-01,44.474
1986-01-01,46.4576
1986-04-01,48.4007
1986-07-01,48.6555
1986-10-01,51.4899
1987-01-01,55.3026
1987-04-01,53.8644
1987-07-01,53.2917
1987-10-01,55.8323
1988-01-01,60.4788
1988-04-01,60.9855
1988-07-01,60.9349
1988-10-01,65.3738
1989-01-01,71.054
1989-04-01,63.8227
1989-07-01,64.4036
1989-10-01,67.612
1990-01-01,65.4562
1990-04-01,60.5008
1990-07-01,60.2309
1990-10-01,59.8265
1991-01-01,60.9586
1991-04-01,62.6645
1991-07-01,58.7826
1991-10-01,59.5878
1992-01-01,60.3347
1992-04-01,60.4883
1992-07-01,60.3712
1992-10-01,61.4088
1993-01-01,61.5007
1993-04-01,61.3806
1993-07-01,59.7931
1993-10-01,60.2257
1994-01-01,63.2761
1994-04-01,62.9691
1994-07-01,61.6392
1994-10-01,62.182
1995-01-01,59.9024
1995-04-01,57.9122
1995-07-01,58.3579
1995-10-01,58.4292
1996-01-01,57.4819
1996-04-01,58.2538
1996-07-01,57.3649
1996-10-01,57.3501
1997-01-01,57.7044
1997-04-01,58.9835
1997-07-01,57.8054
1997-10-01,57.7742
1998-01-01,56.9207
1998-04-01,57.2648
1998-07-01,56.0665
1998-10-01,56.7612
1999-01-01,56.923
1999-04-01,58.5134
1999-07-01,57.6102
1999-10-01,58.2385
2000-01-01,58.2334
2000-04-01,58.847
2000-07-01,58.1713
2000-10-01,58.376
2001-01-01,58.096
2001-04-01,59.5847
2001-07-01,59.6911
2001-10-01,61.0311
2002-01-01,63.2774
2002-04-01,64.798
2002-07-01,63.5719
2002-10-01,65.2659
2003-01-01,65.7826
2003-04-01,68.0594
2003-07-01,69.2323
2003-10-01,71.1486
2004-01-01,71.9819
2004-04-01,74.4697
2004-07-01,72.5809
2004-10-01,75.0315
2005-01-01,77.4652
2005-04-01,78.6773
2005-07-01,79.4522
2005-10-01,80.5446
2006-01-01,83.1926
2006-04-01,86.5336
2006-07-01,89.4793
2006-10-01,90.7954
2007-01-01,92.9796
2007-04-01,95.7922
2007-07-01,97.959
2007-10-01,98.3031
2008-01-01,99.5048
2008-04-01,98.9219
2008-07-01,96.707
2008-10-01,95.1875
2009-01-01,92.7926
2009-04-01,93.5418
2009-07-01,95.9034
2009-10-01,97.8051
2010-01-01,100.2634
2010-04-01,101.3128
2010-07-01,99.7963
2010-10-01,98.6454
2011-01-01,99.5914
2011-04-01,100.5791
2011-07-01,101.1121
2011-10-01,100.7356
2012-01-01,101.8205
2012-04-01,103.4685
2012-07-01,103.6756
2012-10-01,102.9037
2013-01-01,103.6024
2013-04-01,105.1683
2013-07-01,105.5543
2013-10-01,105.9437
2014-01-01,106.8698
2014-04-01,108.035
2014-07-01,108.7534
2014-10-01,109.316
2015-01-01,110.8042
2015-04-01,112.2655
2015-07-01,113.2284
2015-10-01,114.2681
2016-01-01,117.2243
2016-04-01,122.0785
2016-07-01,126.1164
2016-10-01,127.8918
2017-01-01,131.5822
2017-04-01,138.2486
2017-07-01,139.8886
2017-10-01,139.0162
2018-01-01,138.5269
2018-04-01,139.1624
2018-07-01,138.7719
2018-10-01,138.6518
2019-01-01,137.1277
2019-04-01,136.498
2019-07-01,136.3936
2019-10-01,138.0355
2020-01-01,140.4391
2020-04-01,144.2064
2020-07-01,145.4279
2020-10-01,148.4112
2021-01-01,150.5571
2021-04-01,158.3231
